t_s,rtt_ms,capacity_mbps,cubic_goodput_mbps,loss_p,reconfig
20.4500,45.625,21.6379,21.6379,0.000000,0
20.5000,33.691,16.5810,16.5810,0.000000,0
20.5500,36.251,16.5810,16.5810,0.000000,0
20.6000,34.990,19.7497,19.7497,0.000000,0
20.6500,37.851,19.7497,19.7497,0.000000,0
20.7000,40.512,20.6594,20.6594,0.000000,0
20.7500,27.242,20.6594,20.6594,0.000000,0
20.8000,31.205,23.6435,23.6435,0.000000,0
20.8500,40.767,23.6435,23.6435,0.000000,0
20.9000,53.409,14.7780,14.7780,0.000000,0
20.9500,35.459,14.7780,14.7780,0.000000,0
21.0000,38.716,20.1400,20.1400,0.000000,0
21.0500,42.141,20.1400,20.1400,0.000000,0
21.1000,31.005,24.1062,24.1062,0.000000,0
21.1500,38.249,24.1062,24.1062,0.000000,0
21.2000,48.758,21.0335,21.0335,0.000000,0
21.2500,40.435,21.0335,21.0335,0.000000,0
21.3000,38.431,20.0439,20.0439,0.000000,0
21.3500,36.337,20.0439,20.0439,0.000000,0
21.4000,39.498,24.8922,24.8922,0.000000,0
21.4500,37.179,24.8922,24.8922,0.000000,0
21.5000,35.032,21.4347,21.4347,0.000000,0
21.5500,38.333,21.4347,21.4347,0.000000,0
21.6000,37.641,23.7430,23.7430,0.000000,0
21.6500,66.784,23.7430,23.7430,0.000000,0
21.7000,37.523,25.6964,25.6964,0.000000,0
21.7500,35.834,25.6964,25.6964,0.000000,0
21.8000,39.683,24.4436,24.4436,0.000000,0
21.8500,38.664,24.4436,24.4436,0.000000,0
21.9000,35.442,24.1025,24.1025,0.000000,0
21.9500,38.806,24.1025,24.1025,0.000000,0
22.0000,46.860,24.9061,24.9061,0.000000,0
22.0500,40.017,24.9061,24.9061,0.000000,0
22.1000,42.735,21.7002,21.7002,0.000000,0
22.1500,41.080,21.7002,21.7002,0.000000,0
22.2000,33.501,16.9480,16.9480,0.000000,0
22.2500,37.981,16.9480,16.9480,0.000000,0
22.3000,40.731,23.8847,23.8847,0.000000,0
22.3500,38.241,23.8847,23.8847,0.000000,0
22.4000,42.484,20.2358,20.2358,0.000000,0
22.4500,33.890,20.2358,20.2358,0.000000,0
22.5000,32.978,22.5588,22.5588,0.000000,0
22.5500,41.955,22.5588,22.5588,0.000000,0
22.6000,33.158,25.8712,25.8712,0.000000,0
22.6500,32.570,25.8712,25.8712,0.000000,0
22.7000,35.492,25.8134,25.8134,0.000000,0
22.7500,38.945,25.8134,25.8134,0.000000,0
22.8000,37.747,25.2219,25.2219,0.000000,0
22.8500,45.789,25.2219,25.2219,0.000000,0
22.9000,53.271,19.1482,19.1482,0.000000,0
22.9500,35.727,19.1482,19.1482,0.000000,0
23.0000,43.847,17.2776,17.2776,0.000000,0
23.0500,36.481,17.2776,17.2776,0.000000,0
23.1000,35.110,18.9305,18.9305,0.000000,0
23.1500,49.577,18.9305,18.9305,0.000000,0
23.2000,47.369,27.9325,27.9325,0.000000,0
23.2500,34.464,27.9325,27.9325,0.000000,0
23.3000,37.766,24.3075,24.3075,0.000000,0
23.3500,35.321,24.3075,24.3075,0.000000,0
23.4000,33.194,23.1264,23.1264,0.000000,0
23.4500,48.492,23.1264,23.1264,0.000000,0
23.5000,46.060,26.7981,26.7981,0.000000,0
23.5500,54.728,26.7981,26.7981,0.000000,0
23.6000,36.947,27.2602,27.2602,0.000000,0
23.6500,40.487,27.2602,27.2602,0.000000,0
23.7000,38.064,29.1579,29.1579,0.000000,0
23.7500,34.928,29.1579,29.1579,0.000000,0
23.8000,39.682,27.6062,27.6062,0.000000,0
23.8500,47.764,27.6062,27.6062,0.000000,0
23.9000,40.338,28.3759,28.3759,0.000000,0
23.9500,33.001,28.3759,28.3759,0.000000,0
24.0000,37.638,22.9864,22.9864,0.000000,0
24.0500,34.735,22.9864,22.9864,0.000000,0
24.1000,32.744,20.0686,20.0686,0.000000,0
24.1500,35.854,20.0686,20.0686,0.000000,0
24.2000,29.699,24.2484,24.2484,0.000000,0
24.2500,37.071,24.2484,24.2484,0.000000,0
24.3000,36.081,20.2667,20.2667,0.000000,0
24.3500,39.776,20.2667,20.2667,0.000000,0
24.4000,36.132,22.9717,22.9717,0.000000,0
24.4500,34.840,22.9717,22.9717,0.000000,0
24.5000,38.345,26.0052,26.0052,0.000000,0
24.5500,36.847,26.0052,26.0052,0.000000,0
24.6000,35.153,36.0589,36.0589,0.000000,0
24.6500,36.869,36.0589,36.0589,0.000000,0
24.7000,45.911,21.0915,21.0915,0.000000,0
24.7500,33.326,21.0915,21.0915,0.000000,0
24.8000,42.360,26.6890,26.6890,0.000000,0
24.8500,45.865,26.6890,26.6890,0.000000,0
24.9000,38.750,21.3346,21.3346,0.000000,0
24.9500,35.561,21.3346,21.3346,0.000000,0
25.0000,40.424,23.5363,23.5363,0.000000,0
25.0500,38.582,23.5363,23.5363,0.000000,0
25.1000,35.786,19.6015,19.6015,0.000000,0
25.1500,34.116,19.6015,19.6015,0.000000,0
25.2000,36.804,24.6484,24.6484,0.000000,0
25.2500,40.308,24.6484,24.6484,0.000000,0
25.3000,33.431,29.7445,29.7445,0.000000,0
25.3500,47.116,29.7445,29.7445,0.000000,0
25.4000,39.622,26.5820,26.5820,0.000000,0
25.4500,37.640,26.5820,26.5820,0.000000,0
25.5000,35.578,34.2330,34.2330,0.000000,0
25.5500,38.476,34.2330,34.2330,0.000000,0
25.6000,37.116,23.6703,23.6703,0.000000,0
25.6500,39.782,23.6703,23.6703,0.000000,0
25.7000,38.778,24.8009,24.8009,0.000000,0
25.7500,36.111,24.8009,24.8009,0.000000,0
25.8000,34.520,30.6197,30.6197,0.000000,0
25.8500,59.681,30.6197,30.6197,0.000000,0
25.9000,35.834,6.8456,6.8456,0.000000,0
25.9500,33.441,6.8456,6.8456,0.000000,0
26.0000,35.940,30.7627,30.7627,0.000000,0
26.0500,40.218,30.7627,30.7627,0.000000,0
26.1000,33.582,35.5821,35.5821,0.000000,0
26.1500,35.599,35.5821,35.5821,0.000000,0
26.2000,34.773,38.6502,38.6502,0.000000,0
26.2500,37.528,38.6502,38.6502,0.000000,0
26.3000,45.322,41.0980,41.0980,0.000000,0
26.3500,43.955,41.0980,41.0980,0.000000,0
26.4000,42.012,27.1460,27.1460,0.000000,0
26.4500,33.960,27.1460,27.1460,0.000000,0
26.5000,48.283,38.0845,38.0845,0.000000,0
26.5500,88.632,38.0845,38.0845,0.000000,0
