t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
14.9500,28.000,14.000,388.8000,388.8000,0.000100,0
15.0000,32.000,16.000,400.8000,400.8000,0.000100,0
15.0500,22.000,11.000,412.8000,412.8000,0.000100,0
15.1000,26.000,13.000,384.0000,384.0000,0.000100,0
15.1500,32.000,16.000,393.6000,393.6000,0.000100,0
15.2000,22.000,11.000,379.2000,379.2000,0.000100,0
15.2500,28.000,14.000,372.0000,372.0000,0.000100,0
15.3000,28.000,14.000,400.8000,400.8000,0.000100,0
15.3500,28.000,14.000,372.0000,372.0000,0.000100,0
15.4000,32.000,16.000,381.6000,381.6000,0.000100,0
15.4500,22.000,11.000,410.4000,410.4000,0.000100,0
15.5000,32.000,16.000,367.2000,367.2000,0.000100,0
15.5500,32.000,16.000,393.6000,393.6000,0.000100,0
15.6000,22.000,11.000,362.4000,362.4000,0.000100,0
15.6500,26.000,13.000,372.0000,372.0000,0.000100,0
15.7000,28.000,14.000,364.8000,364.8000,0.000100,0
15.7500,28.000,14.000,355.2000,355.2000,0.000100,0
15.8000,32.000,16.000,381.6000,381.6000,0.000100,0
15.8500,22.000,11.000,408.0000,408.0000,0.000100,0
15.9000,32.000,16.000,386.4000,386.4000,0.000100,0
15.9500,32.000,16.000,393.6000,393.6000,0.000100,0
16.0000,22.000,11.000,343.2000,343.2000,0.000100,0
16.0500,28.000,14.000,372.0000,372.0000,0.000100,0
16.1000,22.000,11.000,364.8000,364.8000,0.000100,0
16.1500,24.000,12.000,388.8000,388.8000,0.000100,0
16.2000,22.000,11.000,400.8000,400.8000,0.000100,0
16.2500,26.000,13.000,412.8000,412.8000,0.000100,0
16.3000,22.000,11.000,398.4000,398.4000,0.000100,0
16.3500,32.000,16.000,408.0000,408.0000,0.000100,0
16.4000,22.000,11.000,403.2000,403.2000,0.000100,0
16.4500,28.000,14.000,408.0000,408.0000,0.000100,0
16.5000,28.000,14.000,403.2000,403.2000,0.000100,0
16.5500,28.000,14.000,410.4000,410.4000,0.000100,0
16.6000,28.000,14.000,398.4000,398.4000,0.000100,0
16.6500,28.000,14.000,410.4000,410.4000,0.000100,0
16.7000,26.000,13.000,403.2000,403.2000,0.000100,0
16.7500,38.000,19.000,408.0000,408.0000,0.000100,0
16.8000,28.000,14.000,400.8000,400.8000,0.000100,0
16.8500,26.000,13.000,410.4000,410.4000,0.000100,0
16.9000,26.000,13.000,400.8000,400.8000,0.000100,0
16.9500,26.000,13.000,410.4000,410.4000,0.000100,0
17.0000,28.000,14.000,398.4000,398.4000,0.000100,0
17.0500,28.000,14.000,412.8000,412.8000,0.000100,0
17.1000,28.000,14.000,343.2000,343.2000,0.000100,0
17.1500,28.000,14.000,396.0000,396.0000,0.000100,0
17.2000,28.000,14.000,396.0000,396.0000,0.000100,0
17.2500,28.000,14.000,393.6000,393.6000,0.000100,0
17.3000,32.000,16.000,381.6000,381.6000,0.000100,0
17.3500,26.000,13.000,391.2000,391.2000,0.000100,0
17.4000,32.000,16.000,379.2000,379.2000,0.000100,0
17.4500,28.000,14.000,412.8000,412.8000,0.000100,0
17.5000,26.000,13.000,381.6000,381.6000,0.000100,0
17.5500,22.000,11.000,396.0000,396.0000,0.000100,0
17.6000,22.000,11.000,319.2000,319.2000,0.000100,0
17.6500,26.000,13.000,360.0000,360.0000,0.000100,0
17.7000,22.000,11.000,307.2000,307.2000,0.000100,0
17.7500,26.000,13.000,338.4000,338.4000,0.000100,0
17.8000,32.000,16.000,343.2000,343.2000,0.000100,0
17.8500,28.000,14.000,374.4000,374.4000,0.000100,0
17.9000,32.000,16.000,348.0000,348.0000,0.000100,0
17.9500,28.000,14.000,393.6000,393.6000,0.000100,0
18.0000,22.000,11.000,362.4000,362.4000,0.000100,0
18.0500,32.000,16.000,372.0000,372.0000,0.000100,0
18.1000,22.000,11.000,364.8000,364.8000,0.000100,0
18.1500,22.000,11.000,388.8000,388.8000,0.000100,0
18.2000,32.000,16.000,381.6000,381.6000,0.000100,0
18.2500,28.000,14.000,410.4000,410.4000,0.000100,0
18.3000,22.000,11.000,376.8000,376.8000,0.000100,0
18.3500,28.000,14.000,369.6000,369.6000,0.000100,0
18.4000,22.000,11.000,391.2000,391.2000,0.000100,0
18.4500,32.000,16.000,408.0000,408.0000,0.000100,0
18.5000,22.000,11.000,403.2000,403.2000,0.000100,0
18.5500,26.000,13.000,408.0000,408.0000,0.000100,0
18.6000,32.000,16.000,398.4000,398.4000,0.000100,0
18.6500,22.000,11.000,412.8000,412.8000,0.000100,0
18.7000,28.000,14.000,400.8000,400.8000,0.000100,0
18.7500,28.000,14.000,410.4000,410.4000,0.000100,0
18.8000,22.000,11.000,400.8000,400.8000,0.000100,0
18.8500,34.000,17.000,408.0000,408.0000,0.000100,0
18.9000,28.000,14.000,400.8000,400.8000,0.000100,0
18.9500,26.000,13.000,410.4000,410.4000,0.000100,0
19.0000,22.000,11.000,398.4000,398.4000,0.000100,0
