t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
14.6000,50.000,25.000,444.2400,444.2400,0.000100,0
14.6500,50.000,25.000,430.5600,430.5600,0.000100,0
14.7000,50.000,25.000,423.3600,423.3600,0.000100,0
14.7500,50.000,25.000,451.6800,451.6800,0.000100,0
14.8000,50.000,25.000,422.8800,422.8800,0.000100,0
14.8500,50.000,25.000,413.5200,413.5200,0.000100,0
14.9000,48.000,24.000,461.7600,461.7600,0.000100,0
14.9500,46.000,23.000,415.6800,415.6800,0.000100,0
15.0000,52.000,26.000,444.7200,444.7200,0.000100,0
15.0500,50.000,25.000,427.6800,427.6800,0.000100,0
15.1000,46.000,23.000,447.1200,447.1200,0.000100,0
15.1500,50.000,25.000,430.0800,430.0800,0.000100,0
15.2000,46.000,23.000,443.5200,443.5200,0.000100,0
15.2500,50.000,25.000,431.2800,431.2800,0.000100,0
15.3000,50.000,25.000,421.9200,421.9200,0.000100,0
15.3500,50.000,25.000,451.9200,451.9200,0.000100,0
15.4000,46.000,23.000,423.1200,423.1200,0.000100,0
15.4500,52.000,26.000,415.4400,415.4400,0.000100,0
15.5000,50.000,25.000,459.8400,459.8400,0.000100,0
15.5500,46.000,23.000,273.8400,273.8400,0.000100,0
15.6000,52.000,26.000,34.5600,34.5600,0.000100,0
15.6500,68.000,34.000,120.4800,120.4800,0.000100,0
15.7000,52.000,26.000,238.0800,238.0800,0.000100,0
15.7500,48.000,24.000,377.2800,377.2800,0.000100,0
15.8000,50.000,25.000,405.8400,405.8400,0.000100,0
15.8500,52.000,26.000,397.6800,397.6800,0.000100,0
15.9000,58.000,29.000,440.1600,440.1600,0.000100,0
15.9500,52.000,26.000,398.6400,398.6400,0.000100,0
16.0000,52.000,26.000,428.1600,428.1600,0.000100,0
16.0500,48.000,24.000,420.2400,420.2400,0.000100,0
16.1000,54.000,27.000,446.1600,446.1600,0.000100,0
16.1500,50.000,25.000,428.1600,428.1600,0.000100,0
16.2000,48.000,24.000,442.5600,442.5600,0.000100,0
16.2500,50.000,25.000,425.2800,425.2800,0.000100,0
16.3000,52.000,26.000,439.6800,439.6800,0.000100,0
16.3500,50.000,25.000,423.3600,423.3600,0.000100,0
16.4000,50.000,25.000,417.6000,417.6000,0.000100,0
16.4500,54.000,27.000,442.8000,442.8000,0.000100,0
16.5000,50.000,25.000,421.2000,421.2000,0.000100,0
16.5500,52.000,26.000,414.0000,414.0000,0.000100,0
16.6000,50.000,25.000,457.6800,457.6800,0.000100,0
16.6500,52.000,26.000,414.4800,414.4800,0.000100,0
16.7000,52.000,26.000,444.2400,444.2400,0.000100,0
16.7500,48.000,24.000,428.4000,428.4000,0.000100,0
16.8000,46.000,23.000,445.4400,445.4400,0.000100,0
16.8500,50.000,25.000,428.6400,428.6400,0.000100,0
16.9000,46.000,23.000,445.4400,445.4400,0.000100,0
16.9500,52.000,26.000,428.8800,428.8800,0.000100,0
17.0000,52.000,26.000,421.4400,421.4400,0.000100,0
17.0500,48.000,24.000,453.8400,453.8400,0.000100,0
17.1000,50.000,25.000,420.0000,420.0000,0.000100,0
17.1500,52.000,26.000,416.4000,416.4000,0.000100,0
17.2000,52.000,26.000,457.4400,457.4400,0.000100,0
17.2500,50.000,25.000,417.1200,417.1200,0.000100,0
17.3000,52.000,26.000,443.0400,443.0400,0.000100,0
17.3500,52.000,26.000,426.9600,426.9600,0.000100,0
17.4000,50.000,25.000,445.4400,445.4400,0.000100,0
17.4500,52.000,26.000,429.3600,429.3600,0.000100,0
17.5000,54.000,27.000,445.9200,445.9200,0.000100,0
17.5500,52.000,26.000,429.1200,429.1200,0.000100,0
17.6000,52.000,26.000,420.9600,420.9600,0.000100,0
17.6500,46.000,23.000,453.1200,453.1200,0.000100,0
17.7000,50.000,25.000,420.9600,420.9600,0.000100,0
17.7500,52.000,26.000,416.1600,416.1600,0.000100,0
17.8000,50.000,25.000,457.4400,457.4400,0.000100,0
17.8500,50.000,25.000,417.1200,417.1200,0.000100,0
17.9000,50.000,25.000,445.6800,445.6800,0.000100,0
17.9500,50.000,25.000,428.6400,428.6400,0.000100,0
18.0000,50.000,25.000,445.2000,445.2000,0.000100,0
18.0500,46.000,23.000,429.1200,429.1200,0.000100,0
18.1000,46.000,23.000,444.9600,444.9600,0.000100,0
18.1500,50.000,25.000,428.6400,428.6400,0.000100,0
18.2000,50.000,25.000,445.2000,445.2000,0.000100,0
18.2500,50.000,25.000,415.6800,415.6800,0.000100,0
18.3000,50.000,25.000,431.0400,431.0400,0.000100,0
18.3500,50.000,25.000,454.8000,454.8000,0.000100,0
18.4000,50.000,25.000,418.3200,418.3200,0.000100,0
18.4500,50.000,25.000,418.0800,418.0800,0.000100,0
18.5000,54.000,27.000,454.8000,454.8000,0.000100,0
18.5500,50.000,25.000,418.5600,418.5600,0.000100,0
18.6000,50.000,25.000,443.2800,443.2800,0.000100,0
18.6500,50.000,25.000,428.1600,428.1600,0.000100,0
