t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
13.2000,102.000,51.000,406.3200,406.3200,0.000100,0
13.2500,100.000,50.000,416.4000,416.4000,0.000100,0
13.3000,108.000,54.000,420.4800,420.4800,0.000100,0
13.3500,100.000,50.000,423.3600,423.3600,0.000100,0
13.4000,98.000,49.000,427.6800,427.6800,0.000100,0
13.4500,100.000,50.000,415.9200,415.9200,0.000100,0
13.5000,104.000,52.000,425.5200,425.5200,0.000100,0
13.5500,100.000,50.000,401.7600,401.7600,0.000100,0
13.6000,100.000,50.000,443.2800,443.2800,0.000100,0
13.6500,102.000,51.000,402.9600,402.9600,0.000100,0
13.7000,102.000,51.000,400.8000,400.8000,0.000100,0
13.7500,98.000,49.000,442.8000,442.8000,0.000100,0
13.8000,104.000,52.000,404.8800,404.8800,0.000100,0
13.8500,100.000,50.000,419.0400,419.0400,0.000100,0
13.9000,108.000,54.000,420.9600,420.9600,0.000100,0
13.9500,102.000,51.000,422.4000,422.4000,0.000100,0
14.0000,108.000,54.000,427.9200,427.9200,0.000100,0
14.0500,104.000,52.000,415.4400,415.4400,0.000100,0
14.1000,104.000,52.000,425.2800,425.2800,0.000100,0
14.1500,102.000,51.000,418.8000,418.8000,0.000100,0
14.2000,100.000,50.000,427.6800,427.6800,0.000100,0
14.2500,102.000,51.000,395.5200,395.5200,0.000100,0
14.3000,98.000,49.000,435.8400,435.8400,0.000100,0
14.3500,98.000,49.000,405.1200,405.1200,0.000100,0
14.4000,102.000,51.000,405.3600,405.3600,0.000100,0
14.4500,106.000,53.000,438.7200,438.7200,0.000100,0
14.5000,104.000,52.000,404.8800,404.8800,0.000100,0
14.5500,100.000,50.000,419.0400,419.0400,0.000100,0
14.6000,98.000,49.000,415.6800,415.6800,0.000100,0
14.6500,98.000,49.000,427.9200,427.9200,0.000100,0
14.7000,100.000,50.000,424.8000,424.8000,0.000100,0
14.7500,100.000,50.000,418.8000,418.8000,0.000100,0
14.8000,104.000,52.000,423.6000,423.6000,0.000100,0
14.8500,98.000,49.000,379.9200,379.9200,0.000100,0
14.9000,108.000,54.000,444.2400,444.2400,0.000100,0
14.9500,104.000,52.000,400.3200,400.3200,0.000100,0
15.0000,98.000,49.000,407.2800,407.2800,0.000100,0
15.0500,100.000,50.000,435.8400,435.8400,0.000100,0
15.1000,102.000,51.000,408.0000,408.0000,0.000100,0
15.1500,100.000,50.000,416.1600,416.1600,0.000100,0
15.2000,110.000,55.000,427.4400,427.4400,0.000100,0
15.2500,104.000,52.000,413.7600,413.7600,0.000100,0
15.3000,98.000,49.000,428.6400,428.6400,0.000100,0
15.3500,100.000,50.000,415.2000,415.2000,0.000100,0
15.4000,104.000,52.000,427.2000,427.2000,0.000100,0
15.4500,100.000,50.000,394.3200,394.3200,0.000100,0
15.5000,102.000,51.000,443.0400,443.0400,0.000100,0
15.5500,104.000,52.000,401.0400,401.0400,0.000100,0
15.6000,98.000,49.000,407.0400,407.0400,0.000100,0
15.6500,102.000,51.000,435.1200,435.1200,0.000100,0
15.7000,104.000,52.000,409.9200,409.9200,0.000100,0
15.7500,98.000,49.000,416.6400,416.6400,0.000100,0
15.8000,104.000,52.000,426.7200,426.7200,0.000100,0
15.8500,104.000,52.000,416.6400,416.6400,0.000100,0
15.9000,98.000,49.000,427.4400,427.4400,0.000100,0
15.9500,98.000,49.000,415.9200,415.9200,0.000100,0
16.0000,112.000,56.000,426.9600,426.9600,0.000100,0
16.0500,106.000,53.000,412.5600,412.5600,0.000100,0
16.1000,102.000,51.000,426.9600,426.9600,0.000100,0
16.1500,98.000,49.000,400.0800,400.0800,0.000100,0
16.2000,102.000,51.000,443.7600,443.7600,0.000100,0
16.2500,102.000,51.000,399.3600,399.3600,0.000100,0
16.3000,98.000,49.000,408.7200,408.7200,0.000100,0
16.3500,100.000,50.000,434.6400,434.6400,0.000100,0
16.4000,100.000,50.000,409.4400,409.4400,0.000100,0
16.4500,102.000,51.000,416.8800,416.8800,0.000100,0
16.5000,100.000,50.000,423.8400,423.8400,0.000100,0
16.5500,102.000,51.000,417.3600,417.3600,0.000100,0
16.6000,100.000,50.000,426.0000,426.0000,0.000100,0
16.6500,100.000,50.000,417.3600,417.3600,0.000100,0
16.7000,104.000,52.000,425.0400,425.0400,0.000100,0
16.7500,100.000,50.000,401.7600,401.7600,0.000100,0
16.8000,98.000,49.000,442.0800,442.0800,0.000100,0
16.8500,104.000,52.000,400.3200,400.3200,0.000100,0
16.9000,100.000,50.000,405.8400,405.8400,0.000100,0
16.9500,100.000,50.000,436.5600,436.5600,0.000100,0
17.0000,102.000,51.000,406.8000,406.8000,0.000100,0
17.0500,98.000,49.000,417.6000,417.6000,0.000100,0
17.1000,110.000,55.000,424.8000,424.8000,0.000100,0
17.1500,104.000,52.000,412.3200,412.3200,0.000100,0
17.2000,98.000,49.000,420.0000,420.0000,0.000100,0
17.2500,102.000,51.000,417.8400,417.8400,0.000100,0
17.3000,104.000,52.000,425.0400,425.0400,0.000100,0
17.3500,98.000,49.000,401.7600,401.7600,0.000100,0
17.4000,110.000,55.000,441.8400,441.8400,0.000100,0
17.4500,104.000,52.000,402.0000,402.0000,0.000100,0
17.5000,108.000,54.000,407.0400,407.0400,0.000100,0
17.5500,100.000,50.000,436.5600,436.5600,0.000100,0
17.6000,102.000,51.000,405.6000,405.6000,0.000100,0
17.6500,100.000,50.000,420.7200,420.7200,0.000100,0
17.7000,98.000,49.000,424.8000,424.8000,0.000100,0
17.7500,104.000,52.000,418.8000,418.8000,0.000100,0
17.8000,98.000,49.000,423.1200,423.1200,0.000100,0
17.8500,104.000,52.000,420.4800,420.4800,0.000100,0
17.9000,104.000,52.000,423.3600,423.3600,0.000100,0
17.9500,98.000,49.000,420.0000,420.0000,0.000100,0
18.0000,100.000,50.000,423.1200,423.1200,0.000100,0
18.0500,98.000,49.000,403.9200,403.9200,0.000100,0
18.1000,100.000,50.000,440.1600,440.1600,0.000100,0
18.1500,102.000,51.000,403.4400,403.4400,0.000100,0
18.2000,102.000,51.000,400.0800,400.0800,0.000100,0
18.2500,100.000,50.000,438.2400,438.2400,0.000100,0
18.3000,102.000,51.000,405.1200,405.1200,0.000100,0
18.3500,98.000,49.000,420.4800,420.4800,0.000100,0
18.4000,98.000,49.000,423.1200,423.1200,0.000100,0
18.4500,100.000,50.000,421.2000,421.2000,0.000100,0
18.5000,98.000,49.000,423.3600,423.3600,0.000100,0
18.5500,100.000,50.000,419.7600,419.7600,0.000100,0
18.6000,102.000,51.000,421.4400,421.4400,0.000100,0
18.6500,98.000,49.000,405.8400,405.8400,0.000100,0
18.7000,98.000,49.000,439.6800,439.6800,0.000100,0
18.7500,102.000,51.000,403.9200,403.9200,0.000100,0
18.8000,100.000,50.000,405.3600,405.3600,0.000100,0
18.8500,100.000,50.000,438.4800,438.4800,0.000100,0
18.9000,102.000,51.000,405.6000,405.6000,0.000100,0
18.9500,100.000,50.000,406.0800,406.0800,0.000100,0
19.0000,100.000,50.000,419.0400,419.0400,0.000100,0
19.0500,102.000,51.000,420.9600,420.9600,0.000100,0
19.1000,98.000,49.000,423.1200,423.1200,0.000100,0
19.1500,98.000,49.000,420.4800,420.4800,0.000100,0
19.2000,108.000,54.000,421.6800,421.6800,0.000100,0
19.2500,100.000,50.000,403.4400,403.4400,0.000100,0
19.3000,104.000,52.000,438.4800,438.4800,0.000100,0
19.3500,104.000,52.000,405.3600,405.3600,0.000100,0
19.4000,102.000,51.000,403.2000,403.2000,0.000100,0
19.4500,102.000,51.000,439.9200,439.9200,0.000100,0
19.5000,104.000,52.000,403.2000,403.2000,0.000100,0
19.5500,98.000,49.000,420.9600,420.9600,0.000100,0
19.6000,102.000,51.000,420.4800,420.4800,0.000100,0
19.6500,102.000,51.000,416.4000,416.4000,0.000100,0
19.7000,98.000,49.000,416.8800,416.8800,0.000100,0
19.7500,100.000,50.000,419.7600,419.7600,0.000100,0
19.8000,104.000,52.000,421.2000,421.2000,0.000100,0
19.8500,100.000,50.000,422.6400,422.6400,0.000100,0
19.9000,98.000,49.000,421.2000,421.2000,0.000100,0
19.9500,102.000,51.000,405.3600,405.3600,0.000100,0
20.0000,98.000,49.000,438.2400,438.2400,0.000100,0
20.0500,100.000,50.000,405.3600,405.3600,0.000100,0
20.1000,98.000,49.000,403.6800,403.6800,0.000100,0
20.1500,100.000,50.000,440.4000,440.4000,0.000100,0
20.2000,104.000,52.000,402.9600,402.9600,0.000100,0
20.2500,102.000,51.000,421.6800,421.6800,0.000100,0
20.3000,98.000,49.000,419.5200,419.5200,0.000100,0
